level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD62644,0,3.502720985087164,5259.134324447843,0.01098799296829187,0.3289809200308195,0.3289809200308195,0.3289809200308195,0.3289809200308195,0.3289809200308195,0.3289809200308195,1.0,1.0,1.0,1.0,1.0,1.0,23.097941164445615,5.186609198021919,5.989782113088254,5.12743324608831,5.2299582964056865,4.277529332085218,-0.301,-1.1840000000000002,-0.243,-0.384,0.596,2.8236918181347287e-07,3.039121965114121e-07,2.8267517922844026e-07,2.928718672132732e-07,2.855283540430848e-07,2.952949906322364e-07,4.924267608604423
HD62644,1,4.105832717077835,5329.163265931493,0.005519479848355832,0.3133483108710342,0.3133483108710342,0.3133483108710342,0.3133483108710342,0.3133483108710342,0.3133483108710342,1.0,1.0,1.0,1.0,1.0,1.0,23.384577595861504,5.187267820884832,5.975495909766154,5.1210876510391365,5.2306627663242775,4.283935156945431,-0.282,-1.131,-0.225,-0.361,0.593,2.7730253916603945e-07,2.9326660441393123e-07,2.79657141500568e-07,2.865470014063257e-07,2.846340890171578e-07,2.8688097831477453e-07,4.903428394199538
HD62644,2,3.712474910854627,5036.914398261842,-0.11720429390235527,0.31687574116631134,0.31687574116631134,0.31687574116631134,0.31687574116631134,0.31687574116631134,0.31687574116631134,1.0,1.0,1.0,1.0,1.0,1.0,23.6323533884821,5.185918983273797,5.9642974438077925,5.129371833060355,5.230494476110848,4.273280369986167,-0.37799999999999995,-1.341,-0.32799999999999996,-0.469,0.5870000000000001,3.0331464596873707e-07,3.595356810438841e-07,3.0514920400239226e-07,3.16565209489895e-07,2.890339290711234e-07,3.370472670138252e-07,5.883608678234806
HD67523,0,2.375529962978266,6817.09551685418,0.18332997592365086,0.2283773939705004,0.2283773939705004,0.2283773939705004,0.2283773939705004,0.2283773939705004,0.2283773939705004,1.0,1.0,1.0,1.0,1.0,1.0,19.523772218192345,2.917119617679223,3.312547663420409,2.8439488390253835,3.3132479100712504,2.4964651889009146,0.01,-0.322,0.061,-0.028999999999999998,0.44,1.714798628807049e-06,1.6174911356151294e-06,1.7501748511551535e-06,1.2341325605566335e-06,1.7001016900106097e-06,1.6564141328918973e-06,19.73492212509572
HD67523,1,2.080465890857942,6843.79784751051,0.13395221644393562,0.21294863744807152,0.21294863744807152,0.21294863744807152,0.21294863744807152,0.21294863744807152,0.21294863744807152,1.0,1.0,1.0,1.0,1.0,1.0,19.420192969417094,2.9140045237356706,3.306688237402122,2.846833234940121,3.2945824141620172,2.5010314316981193,0.02,-0.28800000000000003,0.069,-0.019,0.431,1.7039590957846736e-06,1.5761069339337758e-06,1.7327171767623034e-06,1.2440218517286421e-06,1.7070584903509689e-06,1.627247798674135e-06,19.18226118395823
HD67523,2,2.739607818510775,6906.555673214904,-0.04479530255880561,0.18454027672525455,0.18454027672525455,0.18454027672525455,0.18454027672525455,0.18454027672525455,0.18454027672525455,1.0,1.0,1.0,1.0,1.0,1.0,19.42545135650659,2.91746418116564,3.3197681409054467,2.831698783080352,3.314722185230097,2.5162196151309657,-0.008,-0.308,0.038,-0.042,0.405,1.742911366435733e-06,1.5861845605781466e-06,1.8079293759428843e-06,1.2473033838196346e-06,1.7241423859428653e-06,1.6488752829211813e-06,19.447736893136373
HD121370,0,3.635304031122239,,0.29372957282546797,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.796111129931385,3.371219687227085,2.7239199516249406,3.247166814572316,2.3685852110129404,0.02,-0.127,0.055,0.004,0.21,1.8994003892356802e-06,1.280480885107502e-06,1.965590271544722e-06,1.2723138324637483e-06,2.3638879685552664e-06,1.5280486867587732e-06,
HD121370,1,3.994505043010897,,0.4192132550951968,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.7956641472718915,3.383225324537155,2.7105509154349345,3.241577753042891,2.320128401301624,0.013000000000000001,-0.16399999999999998,0.052000000000000005,-0.002,0.223,1.9124730139309618e-06,1.3103003131806964e-06,1.995448889586742e-06,1.2859671462498333e-06,2.4423596371061935e-06,1.5511693934808025e-06,
HD121370,2,3.557686016744466,,0.4217988118648514,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.7958560481735764,3.37440953302146,2.7138040943437676,3.295916162368168,2.3242254534918345,0.033,-0.114,0.068,0.016,0.21899999999999997,1.877234622104193e-06,1.2615287760701626e-06,1.9603758189887514e-06,1.203080007058508e-06,2.4421413283151685e-06,1.5078111144837747e-06,
HD124850,0,2.512636412940576,6114.483162858887,-0.5360106923919044,0.23043842775650578,0.23043842775650578,0.23043842775650578,0.23043842775650578,0.23043842775650578,0.23043842775650578,1.0,1.0,1.0,1.0,1.0,1.0,22.05161097549163,4.18511794749878,4.696432644521969,4.127064722493183,4.207746115117107,3.492460475309709,-0.125,-0.578,-0.078,-0.172,0.49200000000000005,6.039678144913187e-07,5.723845687272695e-07,6.101478505198231e-07,6.176785623025561e-07,6.475551840689446e-07,5.850178670328893e-07,8.891781864370941
HD124850,1,3.049839037551591,6131.202028372937,-0.5812635103280803,0.23805190745667695,0.23805190745667695,0.23805190745667695,0.23805190745667695,0.23805190745667695,0.23805190745667695,1.0,1.0,1.0,1.0,1.0,1.0,21.912902383413968,4.1857762175765405,4.683090866478176,4.138387602339165,4.208209053812005,3.481823212617398,-0.142,-0.593,-0.096,-0.185,0.479,6.131270652625671e-07,5.87522668923006e-07,6.139117330909567e-07,6.248522717575313e-07,6.618075077014651e-07,5.977644274588305e-07,8.971579303419405
HD124850,2,2.892067008691422,6194.19027515678,-0.5034629742581447,0.20949145903822106,0.20949145903822106,0.20949145903822106,0.20949145903822106,0.20949145903822106,0.20949145903822106,1.0,1.0,1.0,1.0,1.0,1.0,21.961665499850884,4.185563540989194,4.670939055738844,4.121213853528291,4.2074826106303025,3.5091725056220735,-0.124,-0.562,-0.077,-0.16699999999999998,0.478,6.031642021958281e-07,5.774113977559891e-07,6.128799772731927e-07,6.149898249277221e-07,6.459396924446211e-07,5.877125195319247e-07,8.860016129785492
HD141004,0,3.9427780926195357,5810.561511949859,-0.11591929371383261,0.3217269834353353,0.3217269834353353,0.3217269834353353,0.3217269834353353,0.3217269834353353,0.3217269834353353,1.0,1.0,1.0,1.0,1.0,1.0,11.924046608750942,4.543338283321791,5.116763539114184,4.4723773071587605,4.569782148037405,3.7900331072398084,-0.18,-0.805,-0.125,-0.23600000000000002,0.5479999999999999,4.5679954358562254e-07,4.79022109545374e-07,4.6356437372422634e-07,4.694054367976059e-07,4.675711771248615e-07,4.701330831614734e-07,2.089330618175449
HD141004,1,3.891650800456401,5826.254865182796,-0.10338544374306674,0.31074221929549356,0.31074221929549356,0.31074221929549356,0.31074221929549356,0.31074221929549356,0.31074221929549356,1.0,1.0,1.0,1.0,1.0,1.0,11.876368053128818,4.543329396304394,5.165687736584936,4.480188034930591,4.569704053918121,3.7880664233982926,-0.177,-0.797,-0.121,-0.23199999999999998,0.547,4.5554283068319153e-07,4.5455441464824774e-07,4.585490105472204e-07,4.6771290507418537e-07,4.688505235202067e-07,4.549497810622253e-07,2.0057175837058656
HD141004,2,4.34236423780032,5796.543933144845,-0.057365350258613626,0.2837268580952205,0.2837268580952205,0.2837268580952205,0.2837268580952205,0.2837268580952205,0.2837268580952205,1.0,1.0,1.0,1.0,1.0,1.0,11.898945789728225,4.543791081896456,5.126163449581989,4.487941397543687,4.569748464172468,3.7897888124419037,-0.182,-0.83,-0.126,-0.24,0.555,4.57450958466289e-07,4.859544851221984e-07,4.573876306736738e-07,4.7115259664322044e-07,4.6467087219109654e-07,4.745530744598347e-07,2.100103934623313
HD142860,0,4.4458548547977195,6383.062954692663,-0.034686447538457704,0.2563025490535646,0.2563025490535646,0.2563025490535646,0.2563025490535646,0.2563025490535646,0.2563025490535646,1.0,1.0,1.0,1.0,1.0,1.0,11.1698928963562,3.9445062579222303,4.399820784813947,3.8964293333793334,4.001530813619744,3.2920365406663485,-0.111,-0.5760000000000001,-0.059000000000000004,-0.14800000000000002,0.478,7.441465480157141e-07,7.50814516304668e-07,7.414625855742182e-07,7.305478201009114e-07,7.889443282731414e-07,7.481473289890865e-07,2.917589402600763
