bootstrap_i,duration_seconds,end_time,error_message,error_type,ldd_csv,n_e_pred_LDD_nan,n_ldd_targets,n_nights,n_pred_LDD_nan,n_result_files_after,n_result_files_before,n_result_files_created,n_sequences,n_visibility_files,start_time,status,traceback_file,txt_log,visibility_csv,visibility_pdf
24,462.650073,2026-06-26 18:58:44.959491,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_024_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:51:02.309418,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_024_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_024_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_024_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_024.pdf
25,463.723778,2026-06-26 19:06:28.683675,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_025_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:58:44.959897,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_025_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_025_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_025_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_025.pdf
26,461.926916,2026-06-26 19:14:10.611007,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_026_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 19:06:28.684091,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_026_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_026_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_026_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_026.pdf
27,463.295087,2026-06-26 19:21:53.906469,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_027_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 19:14:10.611382,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_027_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_027_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_027_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_027.pdf
28,463.960786,2026-06-26 19:29:37.867654,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_028_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 19:21:53.906868,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_028_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_028_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_028_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_028.pdf
29,459.317929,2026-06-26 19:37:17.186142,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_029_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 19:29:37.868213,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_029_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_029_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_029_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_029.pdf
30,480.830565,2026-06-26 19:45:18.017129,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_030_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 19:37:17.186564,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_030_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_030_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_030_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_030.pdf
31,460.313824,2026-06-26 19:52:58.331342,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_031_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 19:45:18.017518,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_031_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_031_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_031_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_031.pdf
32,464.921822,2026-06-26 20:00:43.253658,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_032_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 19:52:58.331836,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_032_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_032_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_032_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_032.pdf
33,468.194143,2026-06-26 20:08:31.448041,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_033_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 20:00:43.253898,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_033_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_033_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_033_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_033.pdf
34,463.78339,2026-06-26 20:16:15.231874,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_034_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 20:08:31.448484,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_034_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_034_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_034_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_034.pdf
35,463.625445,2026-06-26 20:23:58.858991,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_035_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 20:16:15.233546,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_035_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_035_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_035_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_035.pdf
