level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD67523,0,2.319274459498612,6426.583775318358,0.1465316032140832,0.21406635540757218,0.21406635540757218,0.21406635540757218,0.21406635540757218,0.21406635540757218,0.21406635540757218,1.0,1.0,1.0,1.0,1.0,1.0,19.367465007546475,2.920404168383394,3.3253459730176345,2.849813390582609,3.320339014665653,2.5219080664396683,-0.04,-0.479,0.017,-0.087,0.501,1.790190743845735e-06,1.8472368577384247e-06,1.8127404190253845e-06,1.2933777001832143e-06,1.5699931156903017e-06,1.8244184121813488e-06,21.38991367336373
HD67523,1,2.472790916377599,6239.105231377754,-0.045750093208542744,0.24868308252233276,0.24868308252233276,0.24868308252233276,0.24868308252233276,0.24868308252233276,0.24868308252233276,1.0,1.0,1.0,1.0,1.0,1.0,19.44213106543061,2.9145555251187436,3.338147349664125,2.8300531166973637,3.3119585036703114,2.530811050363399,-0.08199999999999999,-0.5529999999999999,-0.027999999999999997,-0.131,0.51,1.8708491226034619e-06,1.954348612341308e-06,1.924153557090199e-06,1.3573053882674644e-06,1.5443173636385e-06,1.9209488164461697e-06,22.695646147128713
HD121370,0,3.875770731906626,6112.200069568015,0.5148691010568185,0.28417790332590703,0.28417790332590703,0.28417790332590703,0.28417790332590703,0.28417790332590703,0.28417790332590703,1.0,1.0,1.0,1.0,1.0,1.0,,2.795053701394238,3.396009108771866,2.7185625300533443,3.1916374466223263,2.333961448154186,-0.099,-0.72,-0.036000000000000004,-0.156,0.569,2.121482697526392e-06,2.1610127594366467e-06,2.1480083368626338e-06,1.5516936968708681e-06,1.7533814006544281e-06,2.1452007346725447e-06,
HD121370,1,4.124976195328647,6074.936820376332,0.21717040018484904,0.2748914392141135,0.2748914392141135,0.2748914392141135,0.2748914392141135,0.2748914392141135,0.2748914392141135,1.0,1.0,1.0,1.0,1.0,1.0,,2.795759455040863,3.3880074801858773,2.7341052190720867,3.272441232964319,2.325726482523592,-0.12300000000000001,-0.7090000000000001,-0.065,-0.175,0.545,2.1674904498929027e-06,2.1550531348440895e-06,2.1747978100499553e-06,1.4658329554550037e-06,1.8062188969728206e-06,2.1600280608636143e-06,
HD124850,0,3.1813979666349588,5754.406664315104,-0.5714007643503832,0.2809170078251067,0.2809170078251067,0.2809170078251067,0.2809170078251067,0.2809170078251067,0.2809170078251067,1.0,1.0,1.0,1.0,1.0,1.0,22.043491625649306,4.185151870957273,4.687058378150482,4.126468542267098,4.207744461754776,3.486965130737396,-0.203,-0.7759999999999999,-0.154,-0.257,0.524,6.489335476106769e-07,6.928474507629173e-07,6.547470611086145e-07,6.679795854634121e-07,6.319386562310176e-07,6.752818895020211e-07,10.256162684574562
HD124850,1,3.0935805575955686,6103.521672759213,-0.501204400387391,0.23694301220115305,0.23694301220115305,0.23694301220115305,0.23694301220115305,0.23694301220115305,0.23694301220115305,1.0,1.0,1.0,1.0,1.0,1.0,21.851438222266108,4.185386424859268,4.673231181731758,4.133279887423252,4.208530357636638,3.497386507016901,-0.14300000000000002,-0.61,-0.095,-0.187,0.488,6.139123988780179e-07,6.022384809103349e-07,6.162387723526592e-07,6.258191257982597e-07,6.47003115364705e-07,6.069080480974081e-07,9.057784324125933
HD141004,0,4.1884417903657765,6137.73964523499,0.04634894110462549,0.25621966890689285,0.25621966890689285,0.25621966890689285,0.25621966890689285,0.25621966890689285,0.25621966890689285,1.0,1.0,1.0,1.0,1.0,1.0,11.891699943589613,4.543681466382093,5.128840187865223,4.487238339589902,4.570179915994592,3.78606907972939,-0.126,-0.667,-0.071,-0.17300000000000001,0.521,4.344986066440879e-07,4.1718136377750346e-07,4.350765126594882e-07,4.4278103208747355e-07,4.810977687762782e-07,4.241082609241372e-07,1.874578544373482
HD141004,1,3.8658122150667484,5918.493874600873,-0.14550705033914987,0.2795573218533415,0.2795573218533415,0.2795573218533415,0.2795573218533415,0.2795573218533415,0.2795573218533415,1.0,1.0,1.0,1.0,1.0,1.0,11.86636431844311,4.542787499995243,5.125309103795038,4.475737441651336,4.56908011982283,3.7820489648483897,-0.16399999999999998,-0.745,-0.11,-0.215,0.5329999999999999,4.5034565259042507e-07,4.4971495822134136e-07,4.5579126508316436e-07,4.6071136604599233e-07,4.775747848443194e-07,4.4996723596897485e-07,1.9804107408634923
HD142860,0,3.7971259167575706,6070.836267757732,-0.13734615825674298,0.23527860676160925,0.23527860676160925,0.23527860676160925,0.23527860676160925,0.23527860676160925,0.23527860676160925,1.0,1.0,1.0,1.0,1.0,1.0,11.138602532805116,3.9443902170947327,4.413892143982452,3.887823173474554,3.9941194257005956,3.291887108674501,-0.141,-0.6709999999999999,-0.08800000000000001,-0.188,0.515,7.650765446932622e-07,8.089172877860003e-07,7.675942366477923e-07,7.631557914618942e-07,7.626163836080671e-07,7.913809905489051e-07,3.068923433187773
HD142860,1,4.452687677425187,6301.422081140419,-0.10274330642591387,0.2647441268675572,0.2647441268675572,0.2647441268675572,0.2647441268675572,0.2647441268675572,0.2647441268675572,1.0,1.0,1.0,1.0,1.0,1.0,11.152449940550417,3.946206302193445,4.391473627134463,3.878431342427319,3.9899087076437736,3.2939582388954745,-0.12300000000000001,-0.603,-0.07200000000000001,-0.161,0.484,7.512395671138026e-07,7.756602284131875e-07,7.629365790364805e-07,7.473043178623831e-07,7.832090174893935e-07,7.658919638934335e-07,2.9774680032277936
HD182572,0,4.367665993793377,5732.652304710626,0.37484470773207873,0.24740537631091358,0.24740537631091358,0.24740537631091358,0.24740537631091358,0.24740537631091358,0.24740537631091358,1.0,1.0,1.0,1.0,1.0,1.0,14.906905245719328,5.309066300647083,6.117159936418931,5.252841879876287,5.349684567798651,4.4475942479159905,-0.17600000000000002,-0.922,-0.114,-0.244,0.597,2.2481974681024165e-07,2.1232297955441657e-07,2.2362699227522016e-07,2.3056169036695753e-07,2.4390644453983076e-07,2.173216864567466e-07,1.5094442375349073
HD182572,1,4.235006998342035,5429.846059706635,0.3673244348673247,0.3170287035256053,0.3170287035256053,0.3170287035256053,0.3170287035256053,0.3170287035256053,0.3170287035256053,1.0,1.0,1.0,1.0,1.0,1.0,14.922984185679379,5.309123884972871,6.072173668622081,5.243998041043882,5.3504658028644725,4.4467134626905755,-0.247,-1.122,-0.18600000000000003,-0.327,0.616,2.400000988846363e-07,2.6606730287151697e-07,2.409138445428754e-07,2.486993518852821e-07,2.398698091342472e-07,2.556404212767647e-07,1.7794258994910506
HD2151,0,3.609121938730193,5908.701957142135,-0.5324292021518897,0.2599461327683288,0.2599461327683288,0.2599461327683288,0.2599461327683288,0.2599461327683288,0.2599461327683288,1.0,1.0,1.0,1.0,1.0,1.0,7.473473726879334,2.9298949870491104,3.558453893859667,2.8545535159089432,3.3171681440775385,2.374092360041716,-0.183,-0.715,-0.135,-0.23,0.506,2.024431003746504e-06,1.8521639079180142e-06,2.0760584101485688e-06,1.4797682914712411e-06,1.7907049355669571e-06,1.9210707462494102e-06,3.353724690604661
HD2151,1,3.9643536365419676,5718.787933501473,-0.4052541064546352,0.23396107527001497,0.23396107527001497,0.23396107527001497,0.23396107527001497,0.23396107527001497,0.23396107527001497,1.0,1.0,1.0,1.0,1.0,1.0,7.481046003212112,2.930535589598369,3.5544784626970647,2.8550346647159617,3.2987014188666315,2.381168644625761,-0.21,-0.8270000000000001,-0.158,-0.264,0.536,2.0741814159752644e-06,2.0609601265781295e-06,2.1195668022547554e-06,1.5530320096407562e-06,1.7305873178872088e-06,2.0662486423369834e-06,3.6144835894332723
HD48737,0,3.496684630392808,6603.803222803096,0.099825018387355,0.24037833390222657,0.24037833390222657,0.24037833390222657,0.24037833390222657,0.24037833390222657,0.24037833390222657,1.0,1.0,1.0,1.0,1.0,1.0,18.50783377280668,3.4420033235760004,3.840811868844245,3.3741498573021453,3.5514431186100675,2.8429007571968414,-0.057,-0.45899999999999996,-0.006,-0.094,0.46,1.1247594357590276e-06,1.1280704607689565e-06,1.142354854831273e-06,1.052164700040801e-06,1.2131113659405533e-06,1.1267460507649852e-06,12.063581161378933
HD48737,1,3.672554070640713,6407.1658848055995,-0.0664493599069991,0.22967638325063375,0.22967638325063375,0.22967638325063375,0.22967638325063375,0.22967638325063375,0.22967638325063375,1.0,1.0,1.0,1.0,1.0,1.0,18.426852618290674,3.4420217182043857,3.8352176825722153,3.3791132312195855,3.5531931830258294,2.831983401804224,-0.094,-0.531,-0.044000000000000004,-0.133,0.474,1.163730153108806e-06,1.2116408350247765e-06,1.1776484970351976e-06,1.0888892278075484e-06,1.2096719600770713e-06,1.1924765622583882e-06,12.655846589571672
HD82434,0,3.6679127062751693,6774.372872995388,0.02089061019737526,0.18210868935650476,0.18210868935650476,0.18210868935650476,0.18210868935650476,0.18210868935650476,0.18210868935650476,1.0,1.0,1.0,1.0,1.0,1.0,,3.6573216096808254,4.004422758416365,3.6227499483834236,3.707848020857095,3.174519642309069,-0.053,-0.41100000000000003,-0.005,-0.085,0.425,9.190355917704936e-07,9.283075257440901e-07,9.077390009568106e-07,9.034867051825802e-07,9.231092816400408e-07,9.245987521546514e-07,
HD82434,1,4.017915518374886,7096.732588490023,-0.14412033694902443,0.19906879980329586,0.19906879980329586,0.19906879980329586,0.19906879980329586,0.19906879980329586,0.19906879980329586,1.0,1.0,1.0,1.0,1.0,1.0,,3.6577809637152745,4.0058845956474185,3.624004310500238,3.7049640954731156,3.1817319072567427,-0.059000000000000004,-0.355,-0.015,-0.083,0.353,9.237375310011264e-07,8.804549437879586e-07,9.15080393869783e-07,9.042225561230125e-07,9.798694367475314e-07,8.977679786732258e-07,
HD61421,0,4.0035429062906225,6456.195134453583,0.09862136547124219,0.25391976147284523,0.25391976147284523,0.25391976147284523,0.25391976147284523,0.25391976147284523,0.25391976147284523,1.0,1.0,1.0,1.0,1.0,1.0,3.5309349232146943,,,,,,-0.085,-0.535,-0.032,-0.12300000000000001,0.48,,,,,,,
HD61421,1,4.177797691320105,6380.173923443222,-0.09828076742954318,0.22855072776057211,0.22855072776057211,0.22855072776057211,0.22855072776057211,0.22855072776057211,0.22855072776057211,1.0,1.0,1.0,1.0,1.0,1.0,3.5375191238702914,,,,,,-0.111,-0.563,-0.06,-0.14800000000000002,0.473,,,,,,,
