B-V,M_fin,Mv,actual_M_ini,age_gyr,age_myr,filename,logL,logTe,mass_difference,mh,requested_M_ini
1.3337000000000003,0.5989008262,8.6823,0.5989008262,5.3,5300.0,data/basti/5300z172y269p00o1d1e1.isc_john,-1.1457,3.59806,0.0010991738000000195,0.062,0.6
1.3336000000000006,0.5988274884,8.6817,0.5988274884,5.4,5400.0,data/basti/5400z172y269p00o1d1e1.isc_john,-1.1455,3.5980800000000004,0.0011725115999999813,0.062,0.6
1.3336000000000006,0.5987911572,8.6806,0.5987911572,5.5,5500.0,data/basti/5500z172y269p00o1d1e1.isc_john,-1.14519,3.5981099999999997,0.0012088427999999984,0.062,0.6
1.3336000000000006,0.5987900643999999,8.6791,0.5987900643999999,5.6,5600.0,data/basti/5600z172y269p00o1d1e1.isc_john,-1.14479,3.59815,0.001209935600000045,0.062,0.6
1.333499999999999,0.5988823467000001,8.6766,0.5988823467000001,5.7,5700.0,data/basti/5700z172y269p00o1d1e1.isc_john,-1.14411,3.5982300000000005,0.00111765329999991,0.062,0.6
1.3333999999999993,0.5991551270000001,8.6721,0.5991551270000001,5.8,5800.0,data/basti/5800z172y269p00o1d1e1.isc_john,-1.14291,3.59836,0.0008448729999999127,0.062,0.6
1.3331999999999997,0.5994552989,8.6674,0.5994552989,5.9,5900.0,data/basti/5900z172y269p00o1d1e1.isc_john,-1.14163,3.5985,0.0005447010999999335,0.062,0.6
1.3331,0.5997816217,8.6623,0.5997816217,6.0,6000.0,data/basti/6000z172y269p00o1d1e1.isc_john,-1.1402700000000001,3.59865,0.00021837829999993286,0.062,0.6
1.3329999999999984,0.6001329256,8.6567,0.6001329256,6.1,6100.0,data/basti/6100z172y269p00o1d1e1.isc_john,-1.1388,3.5988300000000004,0.0001329256000000001,0.062,0.6
1.3327000000000009,0.6005081071,8.6504,0.6005081071,6.2,6200.0,data/basti/6200z172y269p00o1d1e1.isc_john,-1.13719,3.5990300000000004,0.0005081071000000437,0.062,0.6
1.3323999999999998,0.6009061242,8.6439,0.6009061242,6.3,6300.0,data/basti/6300z172y269p00o1d1e1.isc_john,-1.1355,3.59925,0.0009061242000000247,0.062,0.6
1.3322000000000003,0.6013259921,8.637,0.6013259921,6.4,6400.0,data/basti/6400z172y269p00o1d1e1.isc_john,-1.13374,3.5994800000000002,0.0013259921000000618,0.062,0.6
1.3331,0.5988830622,8.6646,0.5988830622,6.5,6500.0,data/basti/6500z172y269p00o1d1e1.isc_john,-1.14083,3.59858,0.0011169377999999952,0.062,0.6
1.3329000000000004,0.5993577319,8.6579,0.5993577319,6.6,6600.0,data/basti/6600z172y269p00o1d1e1.isc_john,-1.13903,3.59878,0.0006422681000000097,0.062,0.6
1.3328000000000007,0.5998513372,8.6509,0.5998513372,6.7,6700.0,data/basti/6700z172y269p00o1d1e1.isc_john,-1.1371799999999999,3.59899,0.0001486628000000323,0.062,0.6
1.3324999999999996,0.6003630951,8.6431,0.6003630951,6.8,6800.0,data/basti/6800z172y269p00o1d1e1.isc_john,-1.13516,3.59925,0.00036309509999998824,0.062,0.6
1.3322000000000003,0.6008922628,8.6348,0.6008922628,6.9,6900.0,data/basti/6900z172y269p00o1d1e1.isc_john,-1.13304,3.5995199999999996,0.0008922627999999877,0.062,0.6
1.3330000000000002,0.5986210665999999,8.6599,0.5986210665999999,7.0,7000.0,data/basti/7000z172y269p00o1d1e1.isc_john,-1.13954,3.5987199999999997,0.0013789334000000597,0.062,0.6
1.3328000000000007,0.5991955715,8.652,0.5991955715,7.1,7100.0,data/basti/7100z172y269p00o1d1e1.isc_john,-1.13744,3.59896,0.000804428499999954,0.062,0.6
