HD_ID,Primary,Science,Sequence,SpT,SpT_simple,BTmag,e_BTmag,VTmag,e_VTmag,Jmag,e_Jmag,Kmag,e_Kmag,W1mag,e_W1mag,W3mag,e_W3mag,W4mag,e_W4mag,Plx,e_Plx,Plx_alt,e_Plx_alt,FeH_rel,e_FeH_rel,Quality,LDD_rel,Bmag,Vmag,eb_v,A_V,Bmag_dr,Vmag_dr,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,Dist,e_Dist,V-K_calc,LDD_VK,e_LDD_VK,LDD_VW3,e_LDD_VW3,LDD_VW4,e_LDD_VW4,LDD_BV,e_LDD_BV,LDD_BV_feh,e_LDD_BV_feh,LDD_pred,e_LDD_pred,teff_casagrande,e_teff_casagrande,nan_outputs,probable_reason
HD59936,HD59936,False,Faint,K2III,K2III,9.535,0.02,7.718999999999999,0.011000000000000001,5.025,0.276,3.823,0.278,3.523, 0.384,3.515,0.016,3.3989999999999996, 0.025,0.7172479490000001,0.018735778,0.660932565,0.030582374,,,GOOD,LDD_VW3,9.052564298616376,7.538795392129416,0.35376890648696,1.096683610109576,7.620111769732823,6.445657607864002,6.492094198768943,8.0026272036326,6.579910854452521,6.640287354452521,5.309455044739694,1251.176185376736,59.40494731447494,2.87166564734046,1.0021467203030487,0.04609874913394024,0.9773051978818694,0.04984256509197534,1.0066816729568946,0.07248108045289642,1.3492661072480083,0.10524275636534465,,,0.9773051978818694,0.04984256509197534,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD63734,HD63734,False,Faint,K2III,K2III,8.09,0.015,6.617000000000001,0.009000000000000001,4.821000000000001,0.258,3.945,0.23600000000000002,3.676, 0.409,3.6860000000000004,0.015,3.602, 0.023,8.455784732,0.019284135,8.378753048,0.029850024,,,GOOD,LDD_VW3,7.722073330114866,6.4766903070494655,0.08538302306540069,0.26468737150274213,7.3763472782458495,6.212858729609702,6.373763858664213,7.720157938083648,6.342077944939707,6.438748944939707,5.204239901838451,117.12640121411765,0.5243443021509272,2.629747006556501,0.9630927406217605,0.044302266068600986,0.8712982667838145,0.04443621160597454,0.8882326828638856,0.06395275316619976,1.4313559044337199,0.11164576054583014,,,0.8712982667838145,0.04443621160597454,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD71231,HR3317,False,Faint,K1III,K1III,8.055,0.016,6.56,0.01,4.571000000000001,0.23199999999999998,3.782,0.23,3.6310000000000002, 0.465,3.6210000000000004,0.013999999999999999,3.554, 0.025,4.428635845,0.023768242000000002,4.341492767,0.033057157000000004,,,GOOD,LDD_VW3,7.679643322565241,6.417491640365028,0.19215168220021295,0.5956702148206602,6.90159822575267,5.823747361906358,5.976239098419202,7.222682616587747,5.941296966806721,6.073982966806722,4.985706577915175,221.69823376641926,1.998862592368035,2.2252656760305207,0.9011147909215269,0.04145128038239023,0.8721567978642457,0.04447999669107653,0.883137901581266,0.06358592891385116,1.2202334202804528,0.09517820678187532,,,0.8721567978642457,0.04447999669107653,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD121370,HD121370,True,Both,G0IV,G0IV,3.38,0.013999999999999999,2.719,0.009000000000000001,1.7930000000000001,0.306,1.485,0.17,-0.845,      ,1.4469999999999998,0.021,1.354, 0.013,,,,,0.359,0.1,GOOD,LDD_VW3,3.249256053244203,2.650184147399687,0.0,0.0,3.249256053244203,2.650184147399687,2.7957,3.38,2.719,3.2581592,2.3572319999999998,,,0.7986471164417445,1.6335117125259773,0.07514153877619495,2.170808498235271,0.1107112334099988,2.197252391015103,0.15820217215308743,1.9222913082904836,0.14993872204665773,2.2051474643604494,0.09923163589622022,2.170808498235271,0.1107112334099988,6105.255761082652,79.0,Dist; e_Dist,Missing Plx and Plx_alt: cannot compute Dist; Missing e_Plx and e_Plx_alt: cannot compute e_Dist
HD118839,HD118839,False,Faint,K2II-III,K2II,8.046,0.016,6.596,0.01,4.845,0.218,4.037,0.23199999999999998,3.667, 0.448,3.654,0.015,3.574, 0.020,5.621966093999999,0.021913556,5.648509787,0.035808263,,,GOOD,LDD_VW3,7.686,6.458,-0.06200000000000028,-0.19220000000000087,7.937045400435876,6.649578573983449,6.82875738749076,8.314556991959046,6.7956318097179835,6.916500209717984,5.484976520777986,175.3166101481388,1.2175472494431112,2.933509335371604,0.9472458648471179,0.043573309782967425,0.9220373054615968,0.047023902578541436,0.9305809194903785,0.06700182620330725,2.1622212603374305,0.16865325830631955,,,0.9220373054615968,0.047023902578541436,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD120540,HD120540,False,Faint,K0,K0,9.337,0.018000000000000002,7.765,0.01,5.501,0.017,4.773,0.017,4.671, 0.282,4.753,0.015,4.665, 0.027,5.0285112860000005,0.024414243,5.017984949,0.049429804,,,GOOD,LDD_VW3,8.936564587250523,7.61447594815912,0.07208863909140284,0.22347478118334882,8.64466908293474,7.391723711424629,7.568861469369061,9.024743418245025,7.532884105130269,7.663598405130269,6.3685378805761115,195.67513777720282,1.5717315485273946,2.682292049569002,0.5777734035457655,0.026577576563105207,0.5384012912236871,0.02745846585240804,0.5492211961733384,0.039543926124480364,1.2747088862720168,0.09942729312921732,,,0.5384012912236871,0.02745846585240804,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD125490,HD125490,False,Both,K0III,K0III,7.601,0.016,6.54,0.01,5.077,0.284,4.305,0.02,4.22, 0.288,4.254,0.013999999999999999,4.204, 0.027,6.189869029,0.16800325,5.6539413970000005,0.23268448,,,GOOD,LDD_VW3,7.364893998072846,6.437130967846227,-0.0722369697733809,-0.2239346062974808,7.657390111024984,6.660341542976385,6.819220503399907,7.913899085654446,6.772593500071021,6.879840500071021,5.702479947107841,159.442104957259,4.3525549422971075,2.4874313108138413,0.7188293808879959,0.033066151520847804,0.663578014189819,0.03384247872368076,0.6649898129813234,0.04787926653465528,0.6373797213558905,0.04971561826575946,,,0.663578014189819,0.03384247872368076,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD121981,HD121981,False,Faint,G8IV/V,G8IV,8.213,0.017,7.065,0.011000000000000001,5.239,0.019,4.561,0.018000000000000002,4.484, 0.308,4.504,0.015,4.454, 0.024,7.049334162,0.020664195,7.102646182000001,0.038505213999999996,,,GOOD,LDD_VW3,7.949666609690391,6.955184906146976,0.155981703543415,0.48354328098458654,7.318078073775448,6.473205029818647,6.606366669480412,7.537355207995691,6.562759519979584,6.682385119979583,5.718628468928301,140.22621535933573,0.7656130172996661,1.952457355845391,0.5661301620390158,0.026041987453794727,0.5687684046183126,0.02900718863553394,0.5704043235903892,0.04106911129850802,0.4774065597429251,0.03723771165994816,,,0.5687684046183126,0.02900718863553394,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD123255,HD123255,False,Faint,F2III,F2III,5.876,0.013999999999999999,5.496,0.009000000000000001,4.84,0.037000000000000005,4.599,0.016,4.5360000000000005, 0.309,4.5969999999999995,0.015,4.485, 0.029,17.56269137,0.09936776,17.50379603,0.147692693,,,GOOD,LDD_VW3,5.807824784495238,5.453052714965215,0.0,0.0,5.807824784495238,5.453052714965215,5.5468,5.876,5.496,5.554564,5.062555000000001,56.67426984300944,0.336306776396914,0.9500989869078458,0.49261152894740506,0.02266013033158063,0.4933513089636879,0.02516091675714808,0.49725546463511167,0.035802393453728036,0.41736051895914283,0.03255412047881314,,,0.4933513089636879,0.02516091675714808,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD122135,HD122135,False,Bright,K0III,K0III,7.9110000000000005,0.016,6.678,0.01,4.993,0.24600000000000002,4.156000000000001,0.036000000000000004,4.066, 0.391,4.093999999999999,0.013999999999999999,4.032, 0.026,7.886117508,0.021935299999999998,7.84881795,0.039826707,,,GOOD,LDD_VW3,7.619423794276379,6.560399025811437,0.05902476846494231,0.18297678224132116,7.380425461455149,6.378013848840197,6.538910070125899,7.655330414999613,6.4879480427928815,6.613313742792882,5.490808610560988,125.50015721981995,0.6241085510603464,2.3230252908667497,0.7408286381244016,0.03407811735372247,0.7065565018486853,0.03603438159428295,0.713271284943914,0.05135553251596181,0.7375874615093466,0.057531821997729035,,,0.7065565018486853,0.03603438159428295,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
